"Tail_Number","YEAR","YEAR_MFR","AGE","AIR_TIME","FLIGHTS_ANNUAL","FLIGHTS","DISTANCE","TOT_CARRIER_DELAY","TOT_LATE_AIRCRAFT_DELAY","COUNT_CARRIER_DELAY","COUNT_LATE_AIRCRAFT_DELAY","CARRIER_DELAY_30","LATE_AIRCRAFT_DELAY_30","COUNT_CARRIER_DELAY_30","COUNT_LATE_AIRCRAFT_DELAY_30","COUNT_CARRIER_CANCELLATION","STATE","REGION","TYPE_AIRCRAFT","TYPE_ENGINE","TYPE_REGISTRANT","CARRIER_DELAY_30_RATIO","COUNT_CARRIER_DELAY_30_RATIO","LATE_AIRCRAFT_DELAY_30_RATIO","COUNT_LATE_AIRCRAFT_DELAY_30_RATIO","TOTAL_DELAY_RATE","Proportion_Cancelled"
"10156",2004,2004,0,121402,1088,1088,854026,1182,2843,46,68,798,2302,18,43,0,"IL","C",5,5,3,0.733455882352941,0.0165441176470588,2.11580882352941,0.0395220588235294,0.0560661764705882,0
"10156",2005,2004,1,250240,1183,2271,1753294,2047,4078,60,98,1674,3243,30,51,0,"IL","C",5,5,3,1.41504649196957,0.0253592561284869,2.74133558748943,0.0431107354184277,0.0684699915469146,0
"10156",2006,2004,2,393046,1310,3581,2746928,4283,5813,98,114,3580,4979,50,56,0,"IL","C",5,5,3,2.73282442748092,0.0381679389312977,3.80076335877863,0.0427480916030534,0.0809160305343511,0
"10156",2007,2004,3,530316,1214,4795,3713425,4719,5477,105,113,3895,4661,42,58,0,"IL","C",5,5,3,3.20840197693575,0.0345963756177924,3.83937397034596,0.0477759472817134,0.0823723228995058,0
"10156",2008,2004,4,668437,1211,6006,4680042,5037,5978,117,123,4084,4950,47,64,0,"IL","C",5,5,3,3.37241948802642,0.0388109000825764,4.08753096614368,0.0528488852188274,0.0916597853014038,0
"10156",2009,2004,5,795916,1179,7185,5559589,2094,5271,72,74,1484,4893,31,38,0,"IL","C",5,5,3,1.25869380831213,0.0262934690415606,4.1501272264631,0.0322307039864292,0.0585241730279898,0
"10156",2010,2004,6,931094,1244,8429,6504087,4343,4708,111,96,3321,3911,43,47,1,"IL","C",5,5,3,2.66961414790997,0.0345659163987138,3.14389067524116,0.0377813504823151,0.0723472668810289,0.000118638035354135
"10156",2011,2004,7,1073898,1365,9794,7522730,6136,6546,158,156,5066,5270,80,72,11,"IL","C",5,5,3,3.71135531135531,0.0586080586080586,3.86080586080586,0.0527472527472527,0.111355311355311,0.00112313661425362
"10156",2012,2004,8,1199941,1445,11239,8405739,6987,10456,169,207,5731,9170,90,116,9,"IL","C",5,5,3,3.96608996539792,0.0622837370242214,6.34602076124567,0.0802768166089965,0.142560553633218,0.000800782987810303
"10156",2013,2004,9,1340198,1603,12842,9392545,7128,11163,224,261,5280,9087,103,133,2,"IL","C",5,5,3,3.29382407985028,0.0642545227698066,5.66874610106051,0.0829694323144105,0.147223955084217,0.000155738981467061
